date,time,team1,team2,WIN_1,WIN_2,Handicap_1,Hand_1_odds,Handicap_2,Hand_2_odds,O,O_odds,U,U_odds
25/03,11:05,Ryukyu Golden Kings Okinawa,Sendai 89ers,1.12,5.70,-12.5,1.87,+12.5,1.87,O 147.5,1.83,U 147.5,1.91
25/03,11:05,Kawasaki Brave Thunders,Ibaraki Robots,1.13,5.40,-11.5,1.87,+11.5,1.87,O 165.5,1.87,U 165.5,1.87
25/03,11:30,USC Rip City,Sunshine Coast Phoenix,1.45,2.62,-5.5,1.87,+5.5,1.87,O 174.5,1.87,U 174.5,1.87
25/03,11:30,Tryhoop Okayama,Kagoshima Rebnise,2.70,1.42,+5.5,1.88,-5.5,1.85,O 158.5,1.87,U 158.5,1.87
25/03,11:45,West Adelaide Bearcats,Woodville Warriors,1.29,3.40,-7.5,1.83,+7.5,1.90,O 169.5,1.88,U 169.5,1.85
25/03,11:45,South Adelaide Panthers,Eastern Mavericks,1.05,8.50,-16.5,1.83,+16.5,1.91,O 169.5,1.83,U 169.5,1.90
25/03,11:45,Southern Tigers,Forestville Eagles,6.30,1.10,+13.5,1.87,-13.5,1.87,O 170.5,1.88,U 170.5,1.85
25/03,11:45,Central Districts Lions,North Adelaide Rockets,2.50,1.50,+4.5,1.87,-4.5,1.87,O 165.5,1.87,U 165.5,1.88
25/03,12:00,Nagasaki,Kagawa Five Arrows,1.02,10.75,-17.5,1.95,+17.5,1.80,O 171.5,1.85,U 171.5,1.90
25/03,12:00,Wonju Dongbu Promy,Daegu Pegasus,1.29,3.50,-7.5,1.87,+7.5,1.87,O 159.5,1.83,U 159.5,1.91
25/03,12:00,Jeanne D'Arc (W),CEMT (W),-35.5,1.87,+35.5,1.87,O 125.5,1.87,U 125.5,1.87,No_bet,No_bet
25/03,12:00,Manisa,Merkezefendi,1.55,2.40,-3.5,1.82,+3.5,1.91,O 163.5,1.85,U 163.5,1.90
25/03,12:00,Quezon Huskers,Rizal Golden Coolers,1.27,3.55,-8.5,1.87,+8.5,1.87,O 155.5,1.87,U 155.5,1.87
25/03,12:30,Darwin Salties,Southern Districts Spartans,1.11,6.00,-13.5,1.87,+13.5,1.87,O 183.5,1.87,U 183.5,1.87
25/03,13:00,Changhua BLL,Yulon Dinos,2.85,1.39,+5.5,1.87,-5.5,1.87,O 156.5,1.85,U 156.5,1.88
25/03,13:00,Kaohsiung Steelers,Fubon Braves,3.50,1.27,+8.5,1.87,-8.5,1.87,O 191.5,1.87,U 191.5,1.87
25/03,13:00,New Taipei CTBC DEA,Taiwan Beer HeroBears,1.34,3.05,-7.5,1.90,+7.5,1.85,O 200.5,1.87,U 200.5,1.87
25/03,13:30,Turgutlu Belediyespor (W),Edremit BLD (W),3.55,1.27,+8.5,1.87,-8.5,1.87,O 145.5,1.87,U 145.5,1.87
25/03,14:00,Bataan Risers,Nueva Ecija Rice Vanguards,2.75,1.42,+5.5,1.87,-5.5,1.87,O 162.5,1.87,U 162.5,1.87
25/03,14:30,CB Getafe,La Solana,1.50,2.47,-4.5,1.85,+4.5,1.90,O 157.5,1.85,U 157.5,1.88
25/03,14:30,Konyaspor,Efes,4.75,1.18,+10.5,1.82,-10.5,1.91,O 162.5,1.88,U 162.5,1.85
25/03,15:00,KK Slodes,KK Hercegovac,4.25,1.20,+10.5,1.85,-10.5,1.85,O 179.5,1.85,U 179.5,1.85
25/03,15:30,Amager (W),Herlev (W),1.78,1.98,-1.5,1.87,+1.5,1.87,O 134.5,1.88,U 134.5,1.85
25/03,16:00,AS Apollon Patras,Promitheas,3.05,1.40,+6.5,1.85,-6.5,1.98,O 152.5,1.91,U 152.5,1.90
25/03,16:00,Nevezis,Prienai,1.31,3.35,-7.5,1.85,+7.5,1.88,O 170.5,1.87,U 170.5,1.87
25/03,16:00,Delikatesas,Atletas Kaunas,1.78,1.98,-1.5,1.87,+1.5,1.87,O 160.5,1.88,U 160.5,1.85
25/03,16:00,Ilirija (W),Triglav (W),2.07,1.70,+2.5,1.87,-2.5,1.87,O 135.5,1.87,U 135.5,1.87
25/03,16:00,Helsingborg,Sloga Uppsala,1.17,4.60,-10.5,1.91,+10.5,1.82,O 163.5,1.87,U 163.5,1.87
25/03,16:00,Nymburk,Decin,1.14,5.50,-11.5,1.85,+11.5,1.88,O 165.5,1.83,U 165.5,1.91
25/03,16:30,FC Gaia,Famalicense,7.80,1.06,+16.5,1.87,-16.5,1.87,O 136.5,1.87,U 136.5,1.87
25/03,16:30,CS Rapid Bucuresti,CSM CSU Oradea,3.80,1.24,+8.5,1.88,-8.5,1.87,O 159.5,1.90,U 159.5,1.85
25/03,16:30,KK Borac Zemun,KK Joker Sombor,3.55,1.27,+8.5,1.85,-8.5,1.85,O 182.5,1.85,U 182.5,1.85
25/03,16:30,Hogsbo,IK Eos,1.12,5.70,-15.5,1.90,+15.5,1.85,O 180.5,1.85,U 180.5,1.90
25/03,16:30,KP Brno (W),Sokol Hradec Kralove (W),2.02,1.75,+1.5,1.90,-1.5,1.83,O 149.5,1.87,U 149.5,1.87
25/03,16:45,SC Beirut,Dynamo Lebanon,1.80,1.93,-1.5,1.95,+1.5,1.78,O 164.5,1.85,U 164.5,1.90
25/03,16:45,Maia Basket (W),Fayal Sport Club (W),1.26,3.65,-8.5,1.87,+8.5,1.87,O 126.5,1.87,U 126.5,1.87
25/03,17:00,Aris,Ionikos Nikaias,1.005,14.00,-20.5,1.80,+20.5,1.95,O 157.5,1.83,U 157.5,1.91
25/03,17:00,Agrinio,Eleftheroupoli,3.75,1.25,+8.5,1.87,-8.5,1.87,O 156.5,1.87,U 156.5,1.87
25/03,17:00,AO Triton,Aias Evosmou,1.17,4.65,-10.5,1.87,+10.5,1.87,O 142.5,1.87,U 142.5,1.87
25/03,17:00,Koroivos Amaliadas,Papagou,1.38,2.87,-5.5,1.87,+5.5,1.87,O 160.5,1.87,U 160.5,1.87
25/03,17:00,Kavala,FEA N.F-N.CH.,2.30,1.57,+3.5,1.87,-3.5,1.87,O 158.5,1.87,U 158.5,1.87
25/03,17:00,Panerithraikos,NE Megaridas,1.21,4.05,-9.5,1.87,+9.5,1.87,O 151.5,1.87,U 151.5,1.87
25/03,17:00,AO Amyntas,Marousi,2.00,1.75,+1.5,1.90,-1.5,1.83,O 150.5,1.88,U 150.5,1.85
25/03,17:00,Buducnost (W),Montana (W),1.02,10.75,-22.5,1.85,+22.5,1.90,O 141.5,1.85,U 141.5,1.90
25/03,17:00,SC Prometey,KK Viimsi,1.01,12.50,-27.5,1.88,+27.5,1.87,O 171.5,1.87,U 171.5,1.87
25/03,17:00,San Salvatore (W),Pallacanestro Vado Savona (W),1.47,2.57,-4.5,1.85,+4.5,1.90,O 122.5,1.85,U 122.5,1.88
25/03,17:00,Rytas Vilnius,Lietkabelis,1.50,2.57,-3.5,1.82,+3.5,1.91,O 165.5,1.90,U 165.5,1.83
25/03,17:00,UD Oliveirense,FC Porto,2.95,1.37,+6.5,1.83,-6.5,1.90,O 151.5,1.85,U 151.5,1.88
25/03,17:00,AD Galomar,ABC Santo Andre,1.26,3.65,-8.5,1.87,+8.5,1.87,O 161.5,1.85,U 161.5,1.90
25/03,17:00,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
CBC/Coracao do Ribatejo,1.22,4.05,-10.5,1.87,+10.5,1.87,O 145.5,1.87,U 145.5,1.87,No_bet,No_bet,No_bet
25/03,17:00,Porto U23,Juvemaia ACDC,1.65,2.15,-2.5,1.87,+2.5,1.87,O 150.5,1.87,U 150.5,1.87
25/03,17:00,Ockelbo,Wetterbygden Stars,1.12,5.70,-11.5,1.87,+11.5,1.87,O 166.5,1.87,U 166.5,1.87
25/03,17:00,Besiktas,Gaziantep,1.35,3.15,-6.5,1.88,+6.5,1.85,O 157.5,1.88,U 157.5,1.87
25/03,17:00,Kauhajoen Karhu,Pyrintö Tampere,1.04,9.25,-16.5,1.82,+16.5,1.93,O 166.5,1.85,U 166.5,1.90
25/03,17:00,Salon Vilpas Vikings,Kouvot Kouvola,1.50,2.47,-4.5,1.85,+4.5,1.90,O 185.5,1.85,U 185.5,1.88
25/03,17:15,Cardiff Met Archers (W),Caledonia Pride (W),7.40,1.07,+15.5,1.87,-15.5,1.87,O 140.5,1.87,U 140.5,1.87
25/03,17:15,Quart,CE Bisbal,7.40,1.07,+14.5,1.87,-14.5,1.87,O 145.5,1.85,U 145.5,1.90
25/03,17:30,Maryland Terrapins (W),Notre Dame Fighting Irish (W),1.45,2.62,-5.5,1.93,+5.5,1.82,O 137.5,1.87,U 137.5,1.87
25/03,18:00,Iraklis,Mesologgi BC,1.14,5.10,-11.5,1.87,+11.5,1.87,O 155.5,1.83,U 155.5,1.91
25/03,18:00,Mistelbach Mustangs,Wörthersee Piraten,1.35,3.05,-6.5,1.85,+6.5,1.88,O 161.5,1.88,U 161.5,1.85
25/03,18:00,Essex Rebels (W),Nottingham Wildcats (W),1.10,6.20,-13.5,1.87,+13.5,1.87,O 142.5,1.87,U 142.5,1.87
25/03,18:00,Sheffield Hatters (W),Sevenoaks Suns (W),1.47,2.57,-4.5,1.83,+4.5,1.90,O 145.5,1.87,U 145.5,1.87
25/03,18:00,CD Mutilbasket (W),GEiEG (W),1.42,2.72,-5.5,1.88,+5.5,1.85,O 125.5,1.85,U 125.5,1.88
25/03,18:00,Ovarense,Sporting CP,5.50,1.13,+11.5,1.93,-11.5,1.82,O 163.5,1.85,U 163.5,1.88
25/03,18:00,Eskilstuna,Huddinge,1.12,5.70,-12.5,1.90,+12.5,1.85,O 167.5,1.83,U 167.5,1.90
25/03,18:00,Levhartice Chomutov (W),Slavia Praha (W),1.47,2.55,-4.5,1.87,+4.5,1.87,O 138.5,1.87,U 138.5,1.87
25/03,18:30,SKN St. Polten,BC Vienna,3.95,1.24,+8.5,1.88,-8.5,1.85,O 160.5,1.85,U 160.5,1.88
25/03,18:30,La Salle (W),Baloncesto Alcobendas (W),3.05,1.34,+6.5,1.90,-6.5,1.83,O 144.5,1.87,U 144.5,1.87
25/03,18:30,Slask Wroclaw,Astoria Bydgoszcz,1.09,7.10,-12.5,1.83,+12.5,1.90,O 171.5,1.90,U 171.5,1.85
25/03,18:30,SAM Basket Massagno,Lions de Geneve,1.07,7.40,-15.5,1.87,+15.5,1.87,O 160.5,1.88,U 160.5,1.85
25/03,18:30,Swiss Central Basketball,BBC Nyon,4.90,1.15,+11.5,1.80,-11.5,1.93,O 151.5,1.87,U 151.5,1.87
25/03,18:30,Zurich Wildcats,Bernex Basket,1.50,2.47,-4.5,1.87,+4.5,1.87,O 147.5,1.87,U 147.5,1.87
25/03,18:30,Pully Lausanne Foxes,Goldcoast Wallabies,1.01,12.00,-25.5,1.87,+25.5,1.87,O 148.5,1.87,U 148.5,1.87
25/03,18:30,Club 5Basket,Academico FC,1.30,3.35,-8.5,1.87,+8.5,1.87,O 160.5,1.87,U 160.5,1.87
25/03,18:30,CSM Targu Jiu,CSA Steaua Bucuresti,1.98,1.78,+1.5,1.85,-1.5,1.88,O 161.5,1.87,U 161.5,1.88
25/03,18:30,CSM Galati,Miercurea Ciuc,1.06,8.00,-14.5,1.87,+14.5,1.87,O 163.5,1.83,U 163.5,1.91
25/03,18:30,CSO Voluntari,BC CSU Sibiu,1.45,2.65,-5.5,1.82,+5.5,1.93,O 158.5,1.88,U 158.5,1.87
25/03,18:30,Jezica (W),ZKD Maribor (W),1.10,6.20,-13.5,1.87,+13.5,1.87,O 137.5,1.87,U 137.5,1.87
25/03,18:30,Elazig Basketbol Kulubu (W),Fenerbahce Gelisim (W),2.47,1.50,+4.5,1.87,-4.5,1.87,O 144.5,1.87,U 144.5,1.87
25/03,18:30,USK Prague,SK Slavia Prague,1.14,5.50,-11.5,1.88,+11.5,1.85,O 161.5,1.83,U 161.5,1.91
25/03,18:30,Ostrava,Brno,3.50,1.29,+7.5,1.87,-7.5,1.87,O 171.5,1.91,U 171.5,1.83
25/03,19:00,Jennersdorf Blackbirds,KOS Celovec,1.42,2.70,-6.5,1.91,+6.5,1.82,O 143.5,1.88,U 143.5,1.85
25/03,19:00,Ulm,Ludwigsburg,1.65,2.32,-3.5,1.95,+3.5,1.85,O 174.5,1.93,U 174.5,1.88
25/03,19:00,Mitteldeutscher,Göttingen,1.93,1.93,+1.5,1.80,-1.5,2.02,O 168.5,1.88,U 168.5,1.93
25/03,19:00,Dresden Titans,Eisbaren Bremerhaven,1.72,2.05,-2.5,1.93,+2.5,1.82,O 163.5,1.88,U 163.5,1.85
25/03,19:00,Obradoiro,Breogan,1.45,2.82,-4.5,1.83,+4.5,1.98,O 159.5,1.91,U 159.5,1.90
25/03,19:00,Basquet Girona,Manresa,1.52,2.65,-4.5,1.90,+4.5,1.90,O 166.5,1.91,U 166.5,1.90
25/03,19:00,Valencia (W),Gran Canaria (W),1.04,9.25,-18.5,1.82,+18.5,1.93,O 142.5,1.85,U 142.5,1.88
25/03,19:00,Pallacanestro Sanga Milano (W),Alpo Basket (W),1.04,9.25,-16.5,1.85,+16.5,1.88,O 132.5,1.85,U 132.5,1.90
25/03,19:00,KK Dinamo Zagreb,KK Zabok,1.50,2.45,-4.5,1.87,+4.5,1.87,O 163.5,1.87,U 163.5,1.87
25/03,19:00,KK Gorica,Alkar,1.26,3.65,-8.5,1.93,+8.5,1.82,O 164.5,1.85,U 164.5,1.90
25/03,19:00,NKE-Csata (W),Aluinvent DVTK Miskolc (W),8.25,1.05,+16.5,1.91,-16.5,1.82,O 138.5,1.87,U 138.5,1.87
25/03,19:00,MTK Budapest (W),PINKK Pecsi 424 (W),-35.5,1.82,+35.5,1.93,O 148.5,1.91,U 148.5,1.83,No_bet,No_bet
25/03,19:00,Atomeromu KSC Szekszard (W),Uni Gyor (W),2.15,1.65,+2.5,1.91,-2.5,1.83,O 148.5,1.91,U 148.5,1.83
25/03,19:00,PEAC-Pecs (W),Sopron Basket (W),7.00,1.08,+14.5,1.90,-14.5,1.83,O 131.5,1.91,U 131.5,1.83
25/03,19:00,Atomeromu KSC Szekszard (W),Uni Gyor (W),2.30,1.57,+3.5,1.90,-3.5,1.83,O 146.5,1.85,U 146.5,1.88
25/03,19:00,Vasas Akademia (W),BKG-PRIMA Szigetszentmiklos (W),1.10,6.20,-14.5,1.85,+14.5,1.90,O 138.5,1.85,U 138.5,1.90
25/03,19:00,Polpharma,KS AZS AWF Krakow,1.22,4.00,-9.5,1.93,+9.5,1.82,O 161.5,1.87,U 161.5,1.87
25/03,19:00,Scalipus Tasca Xico da Cana,Paco De Arcos Clinia,1.82,1.91,-1.5,1.95,+1.5,1.80,O 133.5,1.87,U 133.5,1.87
25/03,19:00,Coimbroes (W),ACD Ferragudo (W),3.65,1.26,+8.5,1.87,-8.5,1.87,O 133.5,1.87,U 133.5,1.87
25/03,19:00,Ville De Dakar,US Rail,1.04,9.50,-19.5,1.87,+19.5,1.87,O 134.5,1.87,U 134.5,1.87
25/03,19:00,KK Pirot,Spd Radnicki Kragujevac,2.62,1.45,+5.5,1.85,-5.5,1.85,O 180.5,1.85,U 180.5,1.85
25/03,19:00,MBK Lucenec,Spisska Nova Ves,1.60,2.25,-3.5,1.85,+3.5,1.90,O 170.5,1.87,U 170.5,1.87
25/03,19:00,BK Inter Bratislava,BK Iskra Svit,2.15,1.65,+3.5,1.82,-3.5,1.91,O 162.5,1.87,U 162.5,1.87
25/03,19:00,HBK Prievidza,BK Levicki Patrioti,3.65,1.26,+8.5,1.87,-8.5,1.87,O 155.5,1.85,U 155.5,1.90
25/03,19:00,MBK Handlova,MBK Komarno,10.25,1.03,+18.5,1.88,-18.5,1.85,O 171.5,1.85,U 171.5,1.90
25/03,19:15,AEK Athens,Panathinaikos,5.00,1.19,+9.5,1.91,-9.5,1.90,O 155.5,1.91,U 155.5,1.90
25/03,19:15,CB Prat,Cornella,1.16,4.75,-11.5,1.83,+11.5,1.91,O 154.5,1.87,U 154.5,1.87
25/03,19:15,Bembibre (W),Leganes (W),1.22,3.95,-9.5,1.90,+9.5,1.83,O 136.5,1.85,U 136.5,1.88
