Championship,Team1,Team2,Time,Win1,Win1_odd,Win2,Win2_odd,Over,O_odd,Under,U_odd,One,One_odd,Two,Two_odd
Greece - Elite League,GS Amarousiou,Koroivos Amaliadas,15:00,-8.5,1.85,+8.5,1.85,O 153.5,1.89,U 153.5,1.82,1,1.26,2,3.60
USA - NCAA (W),Iowa Hawkeyes (W),LSU Tigers (W),22:30,-3.5,1.88,+3.5,1.93,O 161.5,1.90,U 161.5,1.90,1,1.60,2,2.40
Europe - ABA League,Igokea,Cibona,18:00,-6.5,1.93,+6.5,1.85,O 162.5,1.92,U 162.5,1.85,1,1.41,2,2.75
Lithuania - LKL,Jonavos BC Jonava,BC Wolves,17:20,+3.5,1.88,-3.5,1.86,O 162.5,1.91,U 162.5,1.83,1,2.30,2,1.57
Lithuania - LKL,Gargzdai SC,BC Nevezis,19:30,-1.5,1.83,+1.5,1.91,O 163.5,1.87,U 163.5,1.87,1,1.74,2,2.02
Austria - ABL,Vienna D.c. Timberwolves,BBC Nord Dragonz,16:30,-7.5,1.92,+7.5,1.79,O 156.5,1.86,U 156.5,1.84,1,1.31,2,3.25
Austria - ABL,Klosterneuburg Dukes,BC Vienna,18:00,+10.5,1.90,-10.5,1.81,O 161.5,1.84,U 161.5,1.86,1,5.00,2,1.15
Austria - ABL,Oberwart Gunners,SKN St. Polten Basketball,18:30,-7.5,1.90,+7.5,1.81,O 155.5,1.88,U 155.5,1.82,1,1.30,2,3.30
Croatia - A1 League,KK Dinamo Zagreb,KK Bosco Zagreb,18:00,-6.5,1.85,+6.5,1.89,O 171.5,1.86,U 171.5,1.88,1,1.34,2,3.10
Croatia - A1 League,KK Dubrava Zagreb,GKK Sibenik,19:00,-3.5,1.90,+3.5,1.84,O 150.5,1.87,U 150.5,1.87,1,1.60,2,2.25
Croatia - A1 League,KK Cedevita Junior,KK Split CO,21:00,+3.5,1.91,-3.5,1.83,O 166.5,1.88,U 166.5,1.86,1,2.35,2,1.55
England - BBL,Surrey Scorchers,Newcastle Eagles,16:00,+2.5,1.90,-2.5,1.81,O 165.5,1.83,U 165.5,1.87,1,2.20,2,1.62
England - BBL,Plymouth City Patriots,Leicester Riders,17:00,+11.5,1.84,-11.5,1.86,O 174.5,1.85,U 174.5,1.85,1,5.50,2,1.13
England - BBL,Bristol Flyers,London Lions,18:00,+6.5,1.87,-6.5,1.83,O 166.5,1.87,U 166.5,1.83,1,3.15,2,1.33
England - BBL,Glasgow Rocks,Manchester Giants,19:00,-2.5,1.87,+2.5,1.83,O 175.5,1.88,U 175.5,1.82,1,1.69,2,2.10
England - BBL,Cheshire Phoenix,Sheffield Sharks,19:30,-3.5,1.81,+3.5,1.90,O 153.5,1.81,U 153.5,1.90,1,1.55,2,2.35
Finland - Korisliiga,KTP Kotka Basket,Kataja,18:00,-1.5,1.81,+1.5,1.90,O 173.5,1.83,U 173.5,1.87,1,1.73,2,2.03
Austria - AWBL,BK Duchess (W),UBI Graz Women,21:15,-18.5,1.83,+18.5,1.91,O 128.5,1.89,U 128.5,1.85,1,1.02,2,11.00
Lithuania - NKL,Silute,BC Zalgiris Kaunas II,16:00,+7.5,1.88,-7.5,1.86,O 145.5,1.83,U 145.5,1.91,1,3.45,2,1.28
Belgium - 2nd Division,Spirou Charleroi B,Oxaco Bbc Boechout,18:00,+15.5,1.92,-15.5,1.82,O 167.5,1.87,U 167.5,1.87,1,8.50,2,1.05
