date,time,team1,team2,1,X,2,O,O_odds,U,U_odds,Yes,Yes_odds,No,No_odds
25/03,11:00,Bandirmaspor U19,Adanaspor U19,1.82,3.90,3.45,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,11:00,Gaziantepspor U19,Kayserispor U19,2.42,3.60,2.45,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,11:00,Giresunspor U19,Trabzonspor U19,3.35,3.85,1.85,O,1.57,U,2.25,No_bet,No_bet,No_bet,No_bet
25/03,11:00,Sivasspor U19,Besiktas JK U19,2.45,3.75,2.35,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,11:00,Alanyaspor U19,Istanbulspor U19,2.60,3.60,2.27,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,11:00,ACS Sepsi,FC Brasov,1.50,4.20,5.60,O,1.65,U,2.12,Yes,1.75,No,1.95
25/03,11:00,Queensland Lions SC,Peninsula Power,1.60,4.30,4.30,O,1.44,U,2.55,Yes,1.52,No,2.32
25/03,11:00,Peninsula Power (W),Sunshine Coast Wanderers (W),1.13,7.00,14.00,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,11:00,Brisbane Strikers,Albany Creek,2.10,4.00,2.75,O,1.34,U,2.90,Yes,1.34,No,2.90
25/03,11:00,Souths United,North Star,3.05,3.75,1.98,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,11:00,North Eastern MetroStars,West Adelaide FC,1.31,5.20,7.40,O,1.44,U,2.55,Yes,1.75,No,1.93
25/03,11:00,Brisbane Knights,Moggill FC,1.82,4.00,3.35,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,11:15,Bohemians 1905 II,FK Kraluv Dvur,1.36,4.50,7.00,O,1.65,U,2.10,No_bet,No_bet,No_bet,No_bet
25/03,11:15,FC Hradec Kralove II,FK Pardubice II,1.95,3.55,3.25,O,1.75,U,1.98,No_bet,No_bet,No_bet,No_bet
25/03,11:15,FK Jablonec II,Sokol Zapy,1.87,3.70,3.35,O,1.65,U,2.10,No_bet,No_bet,No_bet,No_bet
25/03,11:15,Loko Vltavin,Admira Praha,3.50,3.35,1.95,O,1.93,U,1.78,No_bet,No_bet,No_bet,No_bet
25/03,11:15,Motorlet Praha,FC Viktoria Plzen II,2.22,3.50,2.75,O,1.72,U,2.02,No_bet,No_bet,No_bet,No_bet
25/03,11:15,SK Benesov,FK Usti Nad Labem,1.87,3.70,3.40,O,1.65,U,2.10,No_bet,No_bet,No_bet,No_bet
25/03,11:15,Tatran Bohunice,AFC Humpolec,1.17,6.20,12.00,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,11:15,FC Slovan Havlickuv Brod,FSC Stara Rise,1.93,3.85,3.10,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,11:15,Marianske Lazne,SK Aritma Praha,2.70,3.85,2.12,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,11:15,SK Kladno,Vilemov,1.12,7.20,15.00,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,11:15,Vratimov,Hermanice,1.19,6.30,9.75,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,11:30,FK Nove Zamky,Tj Jednota Banova,3.35,3.60,1.91,O,1.70,U,2.05,No_bet,No_bet,No_bet,No_bet
25/03,11:30,Prepere,TJ Sokol Zivanice,1.55,4.10,4.75,O,1.60,U,2.20,No_bet,No_bet,No_bet,No_bet
25/03,11:30,SK Dynamo Ceske Budejovice II,Dukla Prague II,1.80,4.00,3.45,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,11:45,Bangladesh,Seychelles,1.91,3.15,3.85,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,12:00,MKE Ankaragucu U19,Fatih Karagumrukspor U19,1.39,4.65,6.10,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
