Date,Time,Team1,Team2,One_odd,Two_odd,Win1,Win1_odd,Win2,Win2_odd,O,O_odd,U,U_odd
03-Apr,01:00,Orlando Magic,Detroit Pistons,1.23,4.4,-8.5,1.85,8.5,1.98,O 224.5,1.91,U 224.5,1.9
03-Apr,01:00,Sacramento Kings,San Antonio Spurs,1.08,8.75,-15.5,1.93,15.5,1.88,O 243.5,1.88,U 243.5,1.93
03-Apr,01:00,Brillantes de Maracaibo,Heroes de Falcon,1.45,2.65,-5.5,1.91,5.5,1.83,O 169.5,1.85,U 169.5,1.88
03-Apr,01:00,Centauros de Portuguesa,Guaros de Lara,1.62,2.2,-3.5,1.93,3.5,1.82,O 156.5,1.88,U 156.5,1.85
03-Apr,01:00,Bucaneros de La Guaira,Diablos de Miranda,1.09,6.7,-14.5,1.9,14.5,1.85,O 152.5,1.87,U 152.5,1.87
03-Apr,01:00,Ittihad Riadi de Tanger,CSL Larache,1.21,4.05,-9.5,1.87,9.5,1.87,O 137.5,1.87,U 137.5,1.87
03-Apr,02:00,Houston Rockets,Los Angeles Lakers,6,1.14,10.5,1.95,-10.5,1.85,O 232.5,1.9,U 232.5,1.91
03-Apr,02:00,Oklahoma City Thunder,Phoenix Suns,2.75,1.47,4.5,1.91,-4.5,1.9,O 233.5,1.87,U 233.5,1.95
03-Apr,02:00,Asociacion Deportiva Atenas,Obera Tenis Club,3.3,1.3,7.5,1.87,-7.5,1.87,O 158.5,1.87,U 158.5,1.87
03-Apr,02:00,Sportivo Suardi,Almafuerte Las Varillas,1.32,3.2,-7.5,1.88,7.5,1.85,O 161.5,1.9,U 161.5,1.85
03-Apr,02:00,Las Animas,Colegio Los Leones,4.9,1.15,8.5,1.87,-8.5,1.87,O 161.5,1.87,U 161.5,1.87
03-Apr,02:30,Puerto Varas,Tinguiririca San Fernando,1.009,12.5,-23.5,1.87,23.5,1.87,O 159.5,1.83,U 159.5,1.91
03-Apr,03:00,Cleveland Cavaliers,Indiana Pacers,1.12,6.7,-12.5,1.91,12.5,1.9,O 230.5,1.93,U 230.5,1.88
03-Apr,03:00,Milwaukee Bucks,Philadelphia 76ers,1.56,2.78,-4.5,1.91,4.5,1.9,O 233.5,1.9,U 233.5,1.91
03-Apr,03:00,Club Atletico Penarol,Regatas Corrientes,1.65,2.15,-2.5,1.87,2.5,1.87,O 160.5,1.85,U 160.5,1.9
03-Apr,03:00,Club Atletico Paracao,Centro Juventud Sionista De Parana,1.36,2.95,-6.5,1.82,6.5,1.93,O 151.5,1.85,U 151.5,1.88
03-Apr,03:00,Temuco,Universidad de Concepcion,40.5,1.82,-40.5,1.91,O 160.5,1.87,U 160.5,1.87,No_bet,No_bet
03-Apr,03:30,Denver Nuggets,Golden State Warriors,1.77,2.29,-2.5,1.9,2.5,1.9,O 233.5,1.88,U 233.5,1.93
03-Apr,04:00,Nicolas Avellaneda,Ciclista Olimpico de la Banda II,4.6,1.17,9.5,1.85,-9.5,1.88,O 155.5,1.83,U 155.5,1.9
