Date,Time,Team1,Team2,One_odd,Two_odd,Win1,Win1_odd,Win2,Win2_odd,O,O_odd,U,U_odd
02-Apr,19:00,Trieste,Virtus Bologna,3.9,1.27,7.5,1.98,-7.5,1.85,O 160.5,1.91,U 160.5,1.9
02-Apr,19:00,Forli,Vanoli Cremona,1.75,2,-1.5,1.87,1.5,1.88,O 146.5,1.87,U 146.5,1.87
02-Apr,19:00,Pallacanestro Chieti,Rieti,1.26,3.65,-7.5,1.82,7.5,1.91,O 145.5,1.87,U 145.5,1.87
02-Apr,19:00,San Giobbe Chiusi,Fortitudo Agrigento,1.6,2.25,-3.5,1.9,3.5,1.83,O 154.5,1.85,U 154.5,1.88
02-Apr,19:00,Fortitudo Bologna,Reale Mutua Torino,1.5,2.47,-4.5,1.9,4.5,1.85,O 163.5,1.83,U 163.5,1.9
02-Apr,19:00,AP Udine,UCC Piacenza,1.36,3,-6.5,1.85,6.5,1.9,O 158.5,1.87,U 158.5,1.87
02-Apr,19:00,Stings Mantova,Pallacanestro Casale Monferrato,1.39,2.85,-5.5,1.87,5.5,1.88,O 151.5,1.83,U 151.5,1.9
02-Apr,19:00,Ravenna,Juvi Cremona,1.35,3.05,-6.5,1.91,6.5,1.82,O 151.5,1.83,U 151.5,1.9
02-Apr,19:00,Pistoia,Cantu,1.85,1.88,-1.5,2,1.5,1.75,O 147.5,1.83,U 147.5,1.9
02-Apr,19:00,San Severo,Stella Azzurra Roma,1.57,2.32,-4.5,1.88,4.5,1.85,O 149.5,1.87,U 149.5,1.87
02-Apr,19:00,Pielle Livorno,Omnia Pavia,1.12,5.8,-12.5,1.91,12.5,1.83,O 145.5,1.83,U 145.5,1.91
02-Apr,19:00,Scandone Avellino,LUISS Roma,1.98,1.78,1.5,1.87,-1.5,1.87,O 144.5,1.87,U 144.5,1.87
02-Apr,19:00,Luciana Mosconi Ancona,Bakery Piacenza,1.57,2.32,-3.5,1.83,3.5,1.9,O 150.5,1.85,U 150.5,1.88
02-Apr,19:00,Lions Bisceglie,Talos Basket Ruvo,1.91,1.83,1.5,1.82,-1.5,1.93,O 146.5,1.88,U 146.5,1.85
02-Apr,19:00,CJ Basket Taranto,Corato,1.26,3.6,-8.5,1.91,8.5,1.83,O 145.5,1.87,U 145.5,1.88
02-Apr,19:00,Crema,Vicenza,1.78,1.98,-1.5,1.87,1.5,1.87,O 143.5,1.91,U 143.5,1.83
02-Apr,19:00,Pescara,Partenope Sant' Antimo,11.25,1.02,18.5,1.88,-18.5,1.85,O 144.5,1.87,U 144.5,1.88
02-Apr,19:00,Tecnica Pallacanestro Sala Consilina,Virtus Arechi Salerno,2.15,1.65,2.5,1.87,-2.5,1.87,O 141.5,1.87,U 141.5,1.87
02-Apr,19:00,Elachem Vigevano,Libertas Livorno,1.6,2.27,-3.5,1.87,3.5,1.87,O 143.5,1.87,U 143.5,1.87
02-Apr,19:00,Green Basket Palermo,San Vendemiano,6.2,1.1,13.5,1.85,-13.5,1.88,O 147.5,1.9,U 147.5,1.85
02-Apr,19:00,Tigers Cesena,Fiorenzuola,3.6,1.26,8.5,1.85,-8.5,1.9,O 158.5,1.87,U 158.5,1.88
02-Apr,19:00,Herons Basket Montecatini,Borgomanero,1.06,7.9,-15.5,1.88,15.5,1.85,O 151.5,1.87,U 151.5,1.88
02-Apr,19:00,Senigallia,Ozzano,1.72,2.05,-2.5,1.93,2.5,1.82,O 153.5,1.91,U 153.5,1.83
02-Apr,19:00,Golfo Piombino,Sangiorgese Basket,1.34,3.1,-7.5,1.85,7.5,1.88,O 148.5,1.87,U 148.5,1.88
02-Apr,19:00,Faenza,Etrusca San Miniato,1.15,4.9,-11.5,1.87,11.5,1.87,O 147.5,1.83,U 147.5,1.91
02-Apr,19:00,Virtus Padova,Brianza Casa Basket 2022,1.47,2.55,-4.5,1.83,4.5,1.9,O 152.5,1.87,U 152.5,1.87
02-Apr,19:00,Virtus Lumezzane,Orzinuovi,2.85,1.39,5.5,1.88,-5.5,1.85,O 134.5,1.87,U 134.5,1.87
02-Apr,19:00,Andrea Costa Imola,Virtus Spes Vis Pallacanestro Imola,1.75,2.02,-1.5,1.83,1.5,1.91,O 145.5,1.87,U 145.5,1.87
02-Apr,19:00,Pallacanestro Vado Savona (W),Cestistica Spezzina (W),3.45,1.28,7.5,1.88,-7.5,1.85,O 127.5,1.88,U 127.5,1.87
02-Apr,19:00,Costa (W),Trieste (W),1.05,8.5,-15.5,1.87,15.5,1.87,O 137.5,1.85,U 137.5,1.9
02-Apr,19:00,Furnir,GKK Sibenik,1.6,2.25,-3.5,1.88,3.5,1.87,O 150.5,1.87,U 150.5,1.87
02-Apr,19:00,Caledonia Gladiators,Manchester Giants,1.7,2.12,-2.5,1.9,2.5,1.83,O 175.5,1.88,U 175.5,1.85
02-Apr,19:00,Froya,Kongsberg Miners,1.7,2.07,-2.5,1.91,2.5,1.83,O 164.5,1.88,U 164.5,1.85
02-Apr,19:00,KKS Polonia Warszawa,MKKS Zak Koszalin,1.47,2.55,-4.5,1.82,4.5,1.93,O 166.5,1.87,U 166.5,1.87
02-Apr,19:00,Clube Atletico Queluz,Illiabum Clube,2.32,1.57,3.5,1.88,-3.5,1.85,O 165.5,1.9,U 165.5,1.85
02-Apr,19:00,Imortal (W),Sl Benfica (W),9,1.04,17.5,1.87,-17.5,1.87,O 132.5,1.85,U 132.5,1.88
02-Apr,19:00,Quinta dos Lombos (W),Esgueira (W),1.8,1.93,-1.5,1.9,1.5,1.83,O 130.5,1.88,U 130.5,1.87
02-Apr,19:00,ACS Sepsi SIC (W),Rapid Bucuresti (W),-37.5,1.9,37.5,1.85,O 153.5,1.87,U 153.5,1.87,No_bet,No_bet
02-Apr,19:00,Zlatibor,Metalac Valjevo,1.32,3.2,-7.5,1.87,7.5,1.87,O 169.5,1.88,U 169.5,1.85
02-Apr,19:00,KK Beko,Zeleznicar Cacak,10,1.03,16.5,1.85,-16.5,1.85,O 163.5,1.85,U 163.5,1.85
02-Apr,19:00,BK Levicki Patrioti,BK Inter Bratislava,1.32,3.2,-8.5,1.88,8.5,1.85,O 162.5,1.88,U 162.5,1.87
